Grupo,Medicamento,Claves,Descripcion_Indicaciones_Dosis,Generalidades,Riesgo_Embarazo,Efectos_Adversos,Contraindicaciones_Precauciones,Interacciones
Grupo 1: Analgesia,ÁCIDO ACETILSALICÍLICO,010.000.0101.00; 010.000.0103.00,TABLETA Artritis reumatoide. Oral. Cada tableta contiene: Osteoartritis. Adultos: Ácido acetilsalicílico 500 mg. Espondilitis anquilosante. Dolor o fiebre: 250-500 mg cada 4 horas. 010.000.0101.00 Envase con 20 tabletas. TABLETA SOLUBLE O Fiebre reumática aguda. Artritis: 500-1000 mg cada 4 ó 6 horas. EFERVESCENTE Dolor o fiebre. Niños: Cada tableta soluble o efervescente contiene: Dolor o fiebre: 30-65 mg/kg de peso corporal/ día Ácido acetilsalicílico 300 mg. fraccionar dosis cada 6 ó 8 horas. Fiebre reumática: 65 mg/kg de peso corporal/ día 010.000.0103.00 Envase con 20 tabletas fraccionar dosis cada 6 ó 8 horas. solubles o efervescentes.,"Inhibe la síntesis de prostaglandinas y actúa sobre el centro termorregulador en el hipotálamo, tiene efecto antiagregante plaquetario por inhibición de la enzima tromboxano sintetasa.",D,"Prolongación del tiempo de sangrado, tinnitus, pérdida de la audición, náusea, vómito, hemorragia gastrointestinal, hepatitis tóxica, equimosis, exantema, asma bronquial, reacciones de hipersensibilidad. Síndrome de Reyé en niños menores de 6 años.","Contraindicaciones: Hipersensibilidad al fármaco, úlcera péptica o gastritis activas, hipoprotrombinemia, niños menores de 6 años.",La eliminación del ácido acetilsalicílico aumenta con corticoesteroides y disminuye su efecto con antiácidos. Incrementa el efecto de hipoglucemiantes orales y de anticoagulantes orales o heparina.
Grupo 1: Analgesia,BUPRENORFINA,040.000.2100.00; 040.000.2100.01; 040.000.4026.00; 040.000.6038.00; 040.000.6039.00,"TABLETA SUBLINGUAL Sublingual. Cada tableta sublingual contiene: Clorhidrato de buprenorfina Dolor de intensidad Adultos: moderada a severa 0.2 a 0.4 mg cada 6 a 8 hrs. equivalente a 0.2 mg de buprenorfina. secundario a: Niños: 040.000.2100.00 Envase con 10 tabletas. Infarto agudo del miocardio. 3 a 6 µg/kg de peso cada 6 a 8 horas. 040.000.2100.01 Envase con 20 tabletas. SOLUCIÓN INYECTABLE Neoplasias. Cada ampolleta o frasco Enfermedad terminal. Intramuscular o intravenosa. ámpula contiene: Clorhidrato de buprenorfina Traumatismos. Adultos: equivalente a 0.3 mg de buprenorfina. 0.3 a 0.6 mg/día, fraccionar dosis cada 6 horas. Dosis máxima de 0.9 mg/día. Envase con 6 ampolletas o 040.000.4026.00 frascos ámpula con 1 ml. PARCHE Cada parche contiene: Buprenorfina 5 mg Transdérmica. Envase con 4 parches. Adultos: Dolor crónico no Velocidad nominal de La dosis debe evaluarse individualmente 040.000.6038.00 oncológico de liberación: 5μg/h (a través Evaluando la intensidad del dolor y la respuesta intensidad moderada, de un periodo de 7 días) analgésica del paciente. cuando el tratamiento PARCHE con paracetamol y/o Dosis inicial: un parche de 5 mg AINES es ineficaz o (5 μg/h) durante 7 días. Cada parche contiene: está contraindicado. Buprenorfina 10 mg No aplicar más de dos parches a la vez independientemente de la concentración, ni Envase con 4 parches. 040.000.6039.00 incrementar la dosis en intervalos menores a 3 Velocidad nominal de días. liberación: 10μg/h (a través de un periodo de 7 días)",Agonista opioide que disminuye la percepción del dolor y es 25 a 50 veces más potente que la morfina.,X,"Sedación, mareo, cefalea, miosis, náusea, sudoración y depresión respiratoria.","Contraindicaciones: Hipersensibilidad al fármaco, hipertensión intracraneal, daño hepático o renal, depresión del sistema nervioso central e hipertrofia prostática. Precauciones: En intoxicación aguda por alcohol, síndrome convulsivo, traumatismo cráneo encefálico, estado de choque y alteración de la conciencia de origen a determinar.","Con alcohol y antidepresivos tricíclicos, aumentan sus efectos depresivos. Con inhibidores de la MAO, ponen en riesgo la vida por alteración en la función del sistema nervioso central, función respiratoria y cardiovascular. Con otros opiáceos, anestésicos, hipnóticos, sedantes, antidepresivos, neurolépticos y en general con medicamentos que deprimen el sistema nervioso central, los efectos se potencian. La eficacia de la buprenorfina puede intensificarse (inhibidores) o debilitarse (inductores) del CYP 3ª4."
Grupo 1: Analgesia,CAPSAICINA,010.000.4031.00,CREMA Dolor de leve a moderada Cutánea. intensidad en: Cada 100 gramos contiene: Adultos y mayores de 12 años: Extracto de oleoresina del Artritis reumatoide. Capsicum annuuna Administrar de acuerdo al caso y a juicio del Artrosis. equivalente a 0.035 g especialista. Neuralgia post-herpética. de capsaicina. Neuropatía diabética. Miembro fantasma. 010.000.4031.00 Envase con 40 g.,"Analgésico de acción local que ejerce una acción desensibilizadora selectiva, por la supresión de la actividad de las fibras sensoriales del tipo C y eliminando la substancia P de las terminales nerviosas.",B,"Eritema, ardor en el sitio de aplicación que disminuye de intensidad con su aplicación en los primeros días de tratamiento.","Contraindicaciones: Hipersensibilidad al fármaco, en la piel herida o irritada y en mucosas. Precauciones: Aplicar sobre la zona afectada sin frotar. No aplicar simultáneamente con otro medicamento tópico en la misma área.",Ninguna de importancia clínica. CLONIXINATO DE LISINA
Grupo 1: Analgesia,CLONIXINATO DE LISINA,010.000.4028.00,"SOLUCIÓN INYECTABLE Dolor de leve a moderada Intramuscular o intravenosa. intensidad. Cada ampolleta contiene: Adultos: Clonixinato de 100 mg cada 4 a 6 horas, dosis máxima 200 mg cada Lisina 100 mg. 6 horas. 010.000.4028.00 Envase con 5 ampolletas de 2 ml.","Analgésico inhibidor de la ciclooxigenasa, bloqueando la síntesis de PGE y PGF2.",B,"Náusea, vómito, somnolencia, mareo y vértigo.","Contraindicaciones: Hipersensibilidad al fármaco, lactancia, úlcera péptica, niños menores de 12 años, hipertensión arterial e insuficiencia renal o hepática.",Con antiinflamatorios no esteroideos pueden aumentar sus efectos adversos gastrointestinales. DEXMEDETOMIDINA
Grupo 1: Analgesia,DEXMEDETOMIDINA,010.000.0247.00; 010.000.0247.01; 010.000.0247.02,SOLUCIÓN INYECTABLE Dolor postoperatorio. Infusión intravenosa contínua. Cada frasco ámpula contiene: Adultos: Clorhidrato de Inicial: 1.0 µg/kg de peso corporal durante 10 dexmedetomidina 200 µg. minutos. Mantenimiento: 0.2 a 0.7 µg/kg de peso corporal; la velocidad deberá ajustarse de acuerdo con la respuesta clínica. 010.000.0247.00 Envase con 1 frasco ámpula. Administrar diluido en solución intravenosa 010.000.0247.01 Envase con 5 frascos ámpula. envasadas en frascos de vidrio. 010.000.0247.02 Envase con 25 frascos ámpula.,"Es un agonista del receptor adrenérgico α2 de neuronas presinápticas y postsinápticas de la medula espinal y locus ceruleus, que proporciona sedación y analgesia, sin depresión respiratoria.",D,"Hipotensión, hipertensión, bradicardia, náusea e hipoxia.",Contraindicaciones: Hipersensibilidad al fármaco. Precauciones: Insuficiencia hepática.,"Aumenta los efectos anestésicos, sedantes, hipnóticos y opioides de sevoflurano, isoflurano, propofol, alfentanilo y midazolam DEXTROPROPOXIFENO"
Grupo 1: Analgesia,DEXTROPROPOXIFENO,040.000.0107.00,"CÁPSULA O COMPRIMIDO Dolor leve a moderado. Oral. Cada cápsula o comprimido Adultos: contiene: Clorhidrato de 65 mg cada 6 a 8 horas, dosis máxima diaria dextropropoxifeno 65 mg. 390 mg. 040.000.0107.00 Envase con 20 cápsulas o comprimidos.",Agonista opioide que disminuye la percepción del dolor y la respuesta emocional al mismo.,C,"Sedación, mareo, cefalea, miosis, náusea, sudoración y depresión respiratoria.","Contraindicaciones: Hipersensibilidad al fármaco, hipertensión intracraneal, daño hepático o renal, depresión del sistema nervioso central, hipertrofia prostática y niños menores de 12 años.","Aumentan sus efectos depresivos con: alcohol y antidepresivos tricíclicos. Aumenta la concentración de: warfarina, carabamazepina, beta‐ bloqueadores y doxepina. Aumenta su concentración con ritonavir. ETOFENAMATO"
Grupo 1: Analgesia,ETOFENAMATO,010.000.4036.00,"SOLUCIÓN INYECTABLE Artritis reumatoide Intramuscular. Espondilitis anquilosante Cada ampolleta contiene: Osteoartrosis y Adultos: Etofenamato 1 g. espondiloartrosis. Una ampolleta de 1 g cada 24 horas, hasta un Hombro doloroso. máximo de tres. Lumbago. Ciática. Tortícolis. Tenosinovitis. Bursitis. 010.000.4036.00 Envase con una ampolleta de Ataque agudo de gota. 2 ml.","Derivado del ácido flufenámico que inhibe la síntesis de prostaglandinas, leucotrienos, bradicinina, histamina y el complemento.",C,"Reacciones de hipersensibilidad, cefalea, vértigo, náusea, vómito, mareo, cansancio, disuria y epigastralgia.","Contraindicaciones: Hipersensibilidad al fármaco, alteraciones en la coagulación y en la hematopoyesis, úlcera gástrica o duodenal, insuficiencia renal, hepática o cardiaca, embarazo y lactancia. Precauciones: No se recomienda su administración en niños menores de 14 años.","Con corticoesteroides u otros antiinflamatorios puede causar enfermedad ácido‐péptica. Puede reducir la acción de furosemida, tiazidas y de antihipertensivos beta bloqueadores. Puede elevar el nivel plasmático de digoxina, fenitoína, metotrexato, litio o hipoglucemiantes orales, disminuye su excreción con probenecid y sulfinpirazona."
Grupo 1: Analgesia,FENTANILO,040.000.4027.00,PARCHE Dolor crónico. Transdérmica. Síndrome doloroso. Cada parche contiene: Adultos: Fentanilo 4.2 mg. Dolor intratable que requiera de analgesia opioide. 4.2 mg cada 72 horas. Dosis máxima 10 mg. 040.000.4027.00 Envase con 5 parches. Requiere receta de narcóticos.,Agonista opioide que actúa principalmente sobre receptores µ y κ. Produce un estado de analgesia profunda e inconsciencia. Es 50 a 100 veces más potente que la morfina.,C,"Depresión respiratoria, sedación, nausea, vómito, rigidez muscular, euforia, broncoconstricción, hipotensión arterial ortostática, constipación, cefalea, confusión, alucinaciones, miosis, bradicardia, convulsiones y prurito.","Contraindicaciones: Hipersensibilidad al fentanilo y a opioides, tratamiento con inhibidores de la monoaminoxidasa, traumatismo craneoencefálico, hipertensión intracraneal y disfunción respiratoria, arritmias cardiacas, psicosis e hipotiroidismo. Precauciones: Niños menores de 12 años.","Asociado a benzodiazepinas produce depresión respiratoria. Inhibidores de la mono amino oxidasa potencian los efectos del fentanilo. Incrementa su concentración con ritonavir. Interacciones Asociado a benzodiazepinas y alcohol produce depresión respiratoria. Inhibidores de la monoaminooxidasa, antihipertensivos y diuréticos potencian sus efectos hipotensores, con anticolinérgico provoca distensión abdominal grave. IBUPROFENO"
Grupo 1: Analgesia,IBUPROFENO,010.000.5943.00,"SUSPENSIÓN ORAL Oral. Dolor de leve a moderado. Cada 100 ml contienen: Niños de 6 meses a 12 años de edad: Ibuprofeno 2 g. De 5 a 10 mg/kg de peso corporal / dosis, Fiebre. dependiendo de la intensidad del dolor y fiebre 010.000.5943.00 Envase con 120 ml y medida administrado cada 6 u 8 horas. dosificadora.","Es un fármaco inhibidor de prostaglandinas que logra mediante este mecanismo de acción controlar inflamación, dolor y fiebre, la acción antiprostaglandínica es a través de su inhibición de ciclooxigenasa responsable de la biosíntesis de las prostaglandinas.",X,"Epigastralgias, náuseas, mareos, pirosis, sensación de plenitud en tracto gastrointestinal, trombocitopenia, erupciones cutáneas, cefalea, visión borrosa, ambliopía tóxica, retención de líquidos.","Contraindicaciones: Hipersensibilidad al fármaco Precauciones: Antecedentes de: colitis ulcerosa, enfermedad de Crohn; antecedentes de HTA y/o insuficiencia cardiaca; asma bronquial; trastornos hematopoyéticos, lupus eritematoso sistémico o enfermedad mixta del tejido conectivo. Riesgo de hemorragia gastrointestinal, úlcera o perforación es mayor cuando se utilizan dosis crecientes de AINE, en pacientes con antecedentes de úlcera y mayores de 65 años de edad. Valorar riesgo/beneficio en: HTA, ICC, enfermedad coronaria establecida, arteriopatía periférica y/o enfermedad cerebrovascular, porfiria intermitente aguda. En tratamiento de larga duración con factores de riesgo cardiovascular conocidos (HTA, hiperlipidemia, diabetes mellitus, fumadores). Control a sometidos a cirugía mayor. Control renal, hepático y hematológico. Riesgo de reacciones cutáneas al inicio del tratamiento. Utilizar dosis mínima eficaz durante el tiempo más corto posible para minimizar las reacciones adversas.","Reduce eficacia de: furosemida, diuréticos tiazídicos. Reduce efecto hipotensor de: ß‐bloqueantes, IECA. Reduce efecto de: mifepristona. Aumenta niveles plasmáticos de: digoxina, fenitoína y litio. Aumenta toxicidad de: metotrexato, hidantoínas, sulfamidas. Potencia lesiones gastrointestinales con: salicilatos, fenilbutazona, indometacina y otros AINE. Aumenta efecto de: hipoglucemiantes orales e insulina. Efecto aditivo en la inhibición plaquetaria con: ticlopidina. Aumenta riesgo de"
Grupo 1: Analgesia,KETOROLACO,010.000.3422.00,"SOLUCIÓN INYECTABLE Dolor de leve a Intramuscular o intravenosa. moderada intensidad. Cada frasco ámpula o Adultos: ampolleta contiene: Ketorolaco- 30 mg cada 6 horas, dosis máxima 120 mg/día. trometamina 30 mg. El tratamiento no debe exceder de 4 días. Niños: Envase con 3 frascos ámpula o 3 010.000.3422.00 ampolletas de 1 ml. 0.75 mg/kg de peso corporal cada 6 horas. Dosis máxima 60 mg/día. El tratamiento no debe exceder de 2 días.",Inhibe la enzima ciclooxigenasa y por consiguiente de la síntesis de las prostaglandinas.,C,"Úlcera péptica, sangrado gastrointestinal, perforación intestinal, prurito, náusea, dispepsia, anorexia, depresión, hematuria, palidez, hipertensión arterial, disgeusia y mareo.","Contraindicaciones: Hipersensibilidad al fármaco o a otros analgésicos antiinflamatorios no esteroideos, úlcera péptica e insuficiencia renal y diátesis hemorrágica, postoperatorio de amigdalectomía en niños y uso preoperatorio.",Sinergismo con otros antiinflamatorios no esteroideos por aumentar el riesgo de efectos adversos. Disminuye la respuesta diurética a furosemida. El probenecid aumenta su concentración plasmática. Aumenta la concentración plasmática de litio.
