NOMBRE,UNIDAD,CATEGORIA
ALCOHOL ETILICO 70% 1000 ML ,SOLUCION,MATERIAL
MICRODACYN 60 240 ML SPRAY,SOLUCION,MATERIAL
 KRIT -DESINFECTANTE (500 ML),SOLUCION,MATERIAL
CLORURO DE SODIO 0.9 %  500 ML ,SOLUCION,MATERIAL
 CLORURO DE SODIO 0.9% 1000 ML ,SOLUCION,MATERIAL
SOLUCION HARTMAN 500 ML ,SOLUCION,MATERIAL
SOLUCION HARTMAN 1000 ML,SOLUCION,MATERIAL
SOLUCION DX 50 ML 50% ,SOLUCION,MATERIAL
AGUA ESTERIL FRASCO DE 500 CC,SOLUCION,MATERIAL
JABON QUIRURGICO,SOLUCION,MATERIAL
CATETER INTRAVENOSO 22  G,MATERIAL,MATERIAL
CATETER INTRAVENOSO 20  G,MATERIAL,MATERIAL
CATETER INTRAVENOSO 18  G,MATERIAL,MATERIAL
AGUJA NEGRA 22G X 32MM CAJA C/100 AGUJAS,MATERIAL,MATERIAL
EQUIPO DE VENOCLISIS SIN AGUJA  NORMOGOTERO ,MATERIAL,MATERIAL
JERINGA DES 1 ML 27 X 13 100 PZAS,MATERIAL,MATERIAL
JERINGA ESTERIL DES 3 ML 21 X 32 C/100 PZAS ,MATERIAL,MATERIAL
JERINGA DES 5 ML 21 X 32 UNA PIEZA,MATERIAL,MATERIAL
JERINGA DES 10 ML 21 X 32 UNA PZA ,MATERIAL,MATERIAL
JERINGA DES 20 ML S/AGUJA UNA PZA ,MATERIAL,MATERIAL
CINTA MICROPOROSA 1 PULGADA UNA PZA ( 2.5 CM ),MATERIAL,MATERIAL
TELA ADHESIVA 2.5 X 10 MT UNA PZA ,MATERIAL,MATERIAL
CURITAS PIEL 100 PZAS ,MATERIAL,MATERIAL
GUANTE EXP LATX NO EST MED C/100 PZAS ,MATERIAL,MATERIAL
GUANTE EXPLORACION ESTERIL MEDIANO ,MATERIAL,MATERIAL
VENDA ELASTICA  5 CM X 5 MTS UNA PZA ,MATERIAL,MATERIAL
VENDA ELASTICA 10 CM X 5 MTS UNA PZA ,MATERIAL,MATERIAL
VENDA ELASTICA 15 CM X 5 MTS UNA PZA ,MATERIAL,MATERIAL
 HERGOM  LANCETAS 28 LANCETAS,MATERIAL ,MATERIAL
TIRAS REACTIVAS ACCU-CHECK ACTIVE,MATERIAL,MATERIAL
TERMOMETRO DE MERCURIO,MATERIAL,MATERIAL
TIJERA DE USO RUDO 16 CM UNA PZA,MATERIAL,MATERIAL
GASA ESTERIL 10 CM X 10 CM 100 SOBRES (JALOMA),MATERIAL,MATERIAL
HOJA DE BISTURI # 10 ACERO INOXIDABLE UNA PZA,MATERIAL,MATERIAL
HOJA DE BISTURI # 21 ACERO INOXIDABLE UNA PZA,MATERIAL,MATERIAL
SUTURA NYLON 2-0 UNA PIEZA,MATERIAL,MATERIAL
CEPILLO QUIRURGICO,MATERIAL,MATERIAL
PUNTILLAS NASALES ,MATERIAL,MATERIAL
MASCARILLA P OXIG AD SIN BOLSA RESERV,MATERIAL,MATERIAL
FERULA  PARA DEDO ,MATERIAL,MATERIAL
ABATELENGUAS 500 PIEZAS,MATERIAL,MATERIAL
CUBIERTA (ESPECULOS) PARA OTOSCOPIO C/34 PZAS,MATERIAL,MATERIAL
BOQUILLA P/ALCOHOLIMETRO AL  7000 C/50 PZAS,MATERIAL,MATERIAL
GEL PARA ULTRASONIDO GALON,MATERIAL,MATERIAL
PULXO OXIMETRO  ( XIGNAL),METERIAL ,MATERIAL
LAMPARA DE EXPLORACIÓN DE BOLSILLO,MATERIAL,MATERIAL
ESTETOSCOPIO LITMANN,MATERIAL,MATERIAL
