ID,Titulo_Curso,Audiencia,Duracion,URL_Curso
 ,Diplomado de gestión directiva médica,Directivo,160 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/diplomado-de-gestion-directiva-medica/
2,Capacitación en higiene de manos: “Manos limpias salvan vidas” Perfil directivo,Directivo,20 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/capacitacion-en-higiene-de-manos-manos-limpias-salvan-vidas-perfil-directivos/
3,Prescripción razonada de la incapacidad temporal para el trabajo (ITT) dirigido al personal médico directivo,Directivo,20 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/prescripcion-razonada-de-la-incapacidad-temporal-para-el-trabajo-itt-dirigido-al-personal-medico-directivo/
4,Espirometría en el IMSS,Directivo,9 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/espirometria-en-el-imss/
5,"Instrumentos de evaluación, toma de decisiones y mejora continua del aprendizaje",Docentes,24 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/instrumentos-de-evaluacion-toma-de-decisiones-y-mejora-continua-del-aprendizaje/
6,Formación en educación a distancia: tronco común,Docentes,80 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/formacion-en-educacion-a-distancia-tronco-comun/
7,Intervenciones de Enfermería en pacientes con cáncer cervicouterino,Enfermería,10 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/intervenciones-de-enfermeria-en-pacientes-con-cancer-cervicouterino/
8,Enfermedad por coronavirus 2019 (COVID-19),Enfermería,10 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/enfermedad-por-coronavirus-2019-covid-19/
9,Introducción a la rehabilitación integral pos-COVID-19,Enfermería,10 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/introduccion-a-la-rehabilitacion-integral-pos-covid-19/
10,COVID-19: Temas selectos para el personal de Enfermería,Enfermería,10 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/covid-19-temas-selectos-para-el-personal-de-enfermeria/
11,Manejo integral de la hemorragia obstétrica para el personal de Enfermería,Enfermería,12 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/manejo-integral-de-la-hemorragia-obstetrica-para-el-personal-de-enfermeria/
12,Capacitación en el modelo de riesgos para el equipo multidisciplinario de salud,Enfermería,12 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/capacitacion-en-el-modelo-de-riesgos-para-el-equipo-multidisciplinario-de-salud/
13,COVID-19: Rehabilitación neurológica y musculoesquelética,Enfermería,12 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/covid-19-rehabilitacion-neurologica-y-musculoesqueletica/
14,Diplomado de gestión directiva para Enfermería,Enfermería,120 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/diplomado-de-gestion-directiva-para-enfermeria/
15,Planes hospitalarios ante emergencias y desastres: brigada de evacuación,Enfermería,14 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/planes-hospitalarios-ante-emergencias-y-desastres-brigada-de-evacuacion/
16,Planes hospitalarios ante emergencias y desastres: brigada soporte básico de vida,Enfermería,14 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/planes-hospitalarios-ante-emergencias-y-desastres-brigada-soporte-basico-de-vida/
17,Lactancia materna,Enfermería,14 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/lactancia-materna/
18,Diplomado en LEAN Healthcare,Enfermería,154 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/lean-healthcare/
19,Diplomado de profesionalización docente: planeación didáctica,Enfermería,160 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/diplomado-de-profesionalizacion-docente-planeacion-didactica/
20,Atención Integral del sobrepeso y la obesidad en la población adulta en el primer nivel de atención,Enfermería,17 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/atencion-integral-del-sobrepeso-y-la-obesidad-en-la-poblacion-adulta-en-el-primer-nivel-de-atencion/
21,"Capacitación en higiene de manos: ""Manos limpias salvan vidas"" Perfil Enfermería",Enfermería,20 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/capacitacion-en-higiene-de-manos-manos-limpias-salvan-vidas-perfil-enfermeria/
22,Intervenciones de Enfermería en el control del niño sano,Enfermería,20 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/intervenciones-de-enfermeria-en-el-control-del-nino-sano/
23,Atención de Enfermería a pacientes con heridas,Enfermería,23 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/atencion-de-enfermeria-a-pacientes-con-heridas/
24,Formación inicial para docentes IMSS fase 1 planeación didáctica,Enfermería,26 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/formacion-inicial-para-docentes-imss-fase-1-planeacion-didactica/
25,Actualización en sarampión para el personal de Enfermería,Enfermería,3 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/actualizacion-en-sarampion-para-el-personal-de-enfermeria/
26,Atención de Enfermería en el paciente con enfermedades crónicas no transmisibles,Enfermería,30  horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/atencion-de-enfermeria-en-el-paciente-conenfermedades-cronicas-no-transmisibles/
27,Tanatología para Enfermería,Enfermería,30 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/tanatologia-para-enfermeria/
28,Proceso de atención de Enfermería,Enfermería,35 h,https://innovacioneducativa.imss.gob.mx/sitio_wp/proceso-de-atencion-de-enfermeria/
29,PAI Infección por el VIH para el personal de Enfermería,Enfermería,4 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/protocolo-de-atencion-integral-infeccion-por-el-vih-para-el-personal-de-enfermeria/
30,Rehabilitación integral pos-COVID-19: aspectos nutricionales y psicológicos,Enfermería,4 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/rehabilitacion-integral-pos-covid-19-aspectos-nutricionales-y-psicologicos/
31,Cuidados de Enfermería en el paciente con cáncer,Enfermería,40 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/cuidados-de-enfermeria-en-el-paciente-con-cancer/
32,Atención de Enfermería en salud materna,Enfermería,40 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/atencion-de-enfermeria-en-salud-materna/
33,Rehabilitación cardiovascular y prevención,Enfermería,40 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/rehabilitacion-cardiovascular-y-prevencion/
34,Atención de Enfermería en accesos vasculares y terapia de infusión intravascular,Enfermería,40 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/atencion-de-enfermeria-en-accesos-vasculares-y-terapia-de-infusion-intravascular/
35,Cuidados paliativos de Enfermería en el anciano,Enfermería,40 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/cuidados-paliativos-de-enfermeria-en-el-anciano/
36,Atención de Enfermería en las enfermedades prevenibles por vacunación,Enfermería,58 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/atencion-de-enfermeria-en-enfermedades-prevenibles-por-vacunacion/
37,Introducción al manejo integral de la hemorragia obstétrica,Enfermería,6 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/introduccion-al-manejo-integral-de-la-hemorragia-obstetrica/
38,Código delirium para el personal de Enfermería,Enfermería,6 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/codigo-delirium-para-el-personal-enfermeria/
39,Prevención de eventos adversos en la atención quirúrgica,Enfermería,6 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/prevencion-de-eventos-adversos-en-la-atencion-quirurgica/
40,Rehabilitación integral pos-COVID-19: aspectos cardiovasculares,Enfermería,6 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/rehabilitacion-integral-pos-covid-19-aspectos-cardiovasculares/
41,Farmacología básica para Enfermería,Enfermería,60 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/farmacologia-para-enfermeria/
42,PAI Enfermedad Pulmonar Obstructiva Crónica para el personal de Enfermería,Enfermería,7 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/protocolo-de-atencion-integral-enfermedad-pulmonar-obstructiva-cronica-para-el-personal-de-enfermeria/
43,Intervenciones de Enfermería en la atención a pacientes con cáncer de mama,Enfermería,9 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/intervenciones-de-enfermeria-en-la-atencion-a-pacientes-con-cancer-de-mama/
44,Enfermedades infecciosas de las vías respiratorias altas en población pediátrica,Médicos,10.5 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/enfermedades-infecciosas-de-las-vias-respiratorias-altas-en-poblacion-pediatrica/
45,Diagnóstico y tratamiento de la esclerosis múltiple,Médicos,12 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/diagnostico-y-tratamiento-de-la-esclerosis-multiple/
46,Nutrición en pacientes con enfermedades endocrino-metabólicas,Médicos,12 horas,https://innovacioneducativa.imss.gob.mx/sitio_wp/nutricion-en-pacientes-con-enfermedades-endocrino-metabolicas/
