ID,PRODUCTO,URL,PIC,COSTO_30MAR26
1,ACARBOSA 50 MG 30 TABLETAS,https://www.farmaciasdesimilares.com/acarbosa_50mg_30tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157647-300-300?v=638139782652500000&width=300&height=300&aspect=true,$66
2,ACEMETACINA 90 MG  LIBERACION PROLONGADA 14 CAPSULAS,https://www.farmaciasdesimilares.com/acemetacina_90mg_14cap/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162168-300-300?v=638663449671700000&width=300&height=300&aspect=true,$110
3,ACICLOVIR 200 MG 25 TABLETAS,https://www.farmaciasdesimilares.com/aciclovir_200mg_25tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157596-300-300?v=638139782160100000&width=300&height=300&aspect=true,$75
4,ACICLOVIR 400 MG 35 TABLETAS,https://www.farmaciasdesimilares.com/aciclovir_400mg_35tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157494-300-300?v=638139781151430000&width=300&height=300&aspect=true,$179
5,ACICLOVIR 4GR/100ML SUSPENSION 120 ML 1 PIEZA,https://www.farmaciasdesimilares.com/aciclovir_4gr_100ml_susp_120ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162984-300-300?v=638732443330400000&width=300&height=300&aspect=true,$79
6,ACIDO ACETILSALICILICO 100MG ADULTO 30 COMPRIMIDOS,https://www.farmaciasdesimilares.com/ac_acetilsalicilico_100mg_ad_30comp/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163886-300-300?v=638980452779130000&width=300&height=300&aspect=true,$24
7,ACIDO CITRICO / CITRATO DE POTASIO SOLUCION 5/30 GR 150 ML 1 PIEZA,https://www.farmaciasdesimilares.com/acido_citrico_cit_pot_sol_150ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/157086-300-300?v=638139777712870000&width=300&height=300&aspect=true,$259
8,ACIDO FOLICO 5 MG 20 TABLETAS,https://www.farmaciasdesimilares.com/ac_folico_5mg_20tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162969-300-300?v=638730943819630000&width=300&height=300&aspect=true,$15
9,ACIDO FUSIDICO / BETAMETASONA 20/1MG CREMA 15 GR 1 PIEZA,https://www.farmaciasdesimilares.com/ac_fusidico_beta_20_1mg_crema/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158253-300-300?v=638152101542530000&width=300&height=300&aspect=true,$119
10,ACIDO IBANDRONICO 150 MG 1 TABLETA,https://www.farmaciasdesimilares.com/ac_ibandronico_150mg_1tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/156744-300-300?v=638139774688830000&width=300&height=300&aspect=true,$132
11,ACIDO MEFENAMICO 500 MG 20 TABLETAS,https://www.farmaciasdesimilares.com/ac_mefenamico_500mg_20tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/158289-300-300?v=638152101756370000&width=300&height=300&aspect=true,$34
12,ACIDO NALIDIXICO / FENAZOPIRIDINA 500/50 MG 20 TABLETAS,https://www.farmaciasdesimilares.com/ac_nalidixico_fenazopiri_20tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/161970-300-300?v=638663448512600000&width=300&height=300&aspect=true,$64
13,ACIDO URSODEOXICOLICO 250 MG 50 CAPSULAS,https://www.farmaciasdesimilares.com/ac_ursodeoxicolico_250mg_50cap/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/156630-300-300?v=638139773618170000&width=300&height=300&aspect=true,$339
14,ALBENDAZOL 200 MG 6 TABLETAS,https://www.farmaciasdesimilares.com/albendazol_200mg_6tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162972-300-300?v=638730945900900000&width=300&height=300&aspect=true,$13
15,ALBENDAZOL SUSPENSION 20 ML 1 PIEZA,https://www.farmaciasdesimilares.com/albendazol_susp_20ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162975-300-300?v=638730947971670000&width=300&height=300&aspect=true,$7
16,ALENDRONATO 70MG 4 TABLETAS,https://www.farmaciasdesimilares.com/alendronato_70mg_4tab/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163198-300-300?v=638762646973400000&width=300&height=300&aspect=true,$81
17,ALENDRONATO/COLECALCIFEROL VITAMINA D3 70MG/5 600UI 4 COMPRIMIDOS,https://www.farmaciasdesimilares.com/alendronat_cole_vitd_3_70mg_5600ui_4com/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/162174-300-300?v=638663449715730000&width=300&height=300&aspect=true,$299
18,ALFA CETOANÁLOGOS AMINOACIDOS 630MG,https://www.farmaciasdesimilares.com/alfa_cetonalogos_aminoacidos_630mg/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163955-300-300?v=638998677748870000&width=300&height=300&aspect=true,$859
19,ALGESTONA / ESTRADIOL SOLUCION INYECTABLE 1 ML 1 AMPOLLETA,https://www.farmaciasdesimilares.com/algestona_estradiol_1amp_1ml/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/156204-300-300?v=638139770075930000&width=300&height=300&aspect=true,$54
20,ALLEGRA D ANTIHISTAMINICO PARA CONGESTION NASAL Y ALERGIAS 10 TABLETAS,https://www.farmaciasdesimilares.com/fexofena_fenil_60mg_25mg_10tab_allegra_d/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163638-300-300?v=638882183855400000&width=300&height=300&aspect=true,$389
21,ALLEGRA SUSPENSION PEDIATRICA PARA RINITIS ALERGICA Y URTICARIA 60 ML,https://www.farmaciasdesimilares.com/fexofenadina_600mg_100ml_susp/p,https://farmaciassimilaresmx.vtexassets.com/arquivos/ids/163647-300-300?v=638882184844000000&width=300&height=300&aspect=true,$229
