GENERICO,FORMA_FARMACEUTICA,CONTENIDO,DESCRIPCION_ENVASE
ACICLOVIR,UNGÜENTO OFTALMICO,CADA 100 GRAMOS CONTIENEN ACICLOVIR 3 G,4.5 G
ACICLOVIR,TABLETA O COMPRIMIDO,CADA COMPRIMIDO O TABLETA CONTIENE: ACICLOVIR 200 MG,25 COMPRIMIDOS O TABLETAS
ACIDO ACETILSALICILICO,TABLETA,CADA TABLETA CONTIENE: ACIDO ACETILSALICILICO 500 MG,20 TABLETAS
ACIDO ACETILSALICILICO,TABLETA SOLUBLE O EFERVESCENTE,CADA TABLETA SOLUBLE O EFERVESCENTE CONTIENE: ACIDO ACETILSALICILICO 300 MG,20 TABLETAS SOLUBLES O EFERVESCENTES
ACIDO ACETILSALICILICO,TABLETA,CADA TABLETA CONTIENE: ACIDO ACETILSALICILICO 100 MG CON O SIN RECUBRIMIENTO,"28 TABLETAS,"
ACIDO ALENDRONICO,TABLETA O COMPRIMIDO,CADA TABLETA O COMPRIMIDO CONTIENE ALENDRONATO DE SODIO EQUIVALENTE A 10 MG DE ACIDO ALENDRONICO,30 TABLETAS O COMPRIMIDOS
ACIDO ASCORBICO,TABLETA,CADA TABLETA CONTIENE: ACIDO ASCORBICO 100 MG,20 TABLETAS
ACIDO FOLICO,TABLETA,CADA TABLETA CONTIENE: ACIDO FOLICO 5 MG,20 TABLETAS
ACIDO FOLICO,TABLETA,CADA TABLETA CONTIENE: ACIDO FOLICO 5 MG,92 TABLETAS
ACIDO FOLICO,TABLETA,CADA TABLETA CONTIENE: ACIDO FOLICO 0.4 MG,90 TABLETAS
ACIDO RETINOICO,CREMA,CADA 100 GRAMOS CONTIENEN: ACIDO RETINOICO 0.05 G,20 G
ACIDO RISEDRONICO,GRAGEA O TABLETA,CADA GRAGEA O TABLETA CONTIENE: RISEDRONATO SODICO 35 MG,4 GRAGEAS O TABLETAS
ACIDO URSODEOXICOLICO,CAPSULA,CADA CAPSULA CONTIENE: ACIDO URSODEOXICOLICO 250 MG,50 CAPSULAS
ADENOSINA,SOLUCION INYECTABLE,CADA FRASCO AMPULA CONTIENE: ADENOSINA 6 MG,6 FRASCOS AMPULA CON 2 ML
AGUA INYECTABLE,SOLUCION INYECTABLE,CADA AMPOLLETA CONTIENE: AGUA INYECTABLE 10 ML,100 AMPOLLETAS CON 10 ML
AGUA INYECTABLE,SOLUCION INYECTABLE,CADA ENVASE CONTIENE: AGUA INYECTABLE 500 ML,500 ML
ALIBOUR,POLVO,CADA GRAMO CONTIENE: SULFATO DE COBRE 177.0 MG SULFATO DE ZINC 619.5 MG ALCANFOR 26.5 MG,12 SOBRES CON 2.2 G
ALOPURINOL,TABLETA,CADA TABLETA CONTIENE: ALOPURINOL 300 MG,20 TABLETAS
ALPRAZOLAM,TABLETA,CADA TABLETA CONTIENE: ALPRAZOLAM 2.0 MG,30 TABLETAS
ALPRAZOLAM,TABLETA,CADA TABLETA CONTIENE: ALPRAZOLAM 0.25 MG,30 TABLETAS
