NOMBRE,TIPO1,TIPO2,DOMICILIO,MAPS,HORARIO,TELEFONO
HES 25 MONTERREY,HOSPITAL,UNIDADES MEDICAS,"EJE METROPOLITANO 36 ESQ EJE METROPOLITANO 10 Y AV. GONZALITOS S/N  MONTERREY, COL. VALLE DE LAS MITRAS, MONTERREY, C.P. 64300, NUEVO LE”N","https://maps.google.com/maps?q=25.7156,-100.35&z=15&iwloc=near&addr",N/D,N/D
UMF 9 SALINAS VICTORIA,CLÕNICA,UNIDADES MEDICAS,"CALLE ZARAGOZA 7  SALINAS VICTORIA, COL. VALLE DE SALINAS, SALINAS VICTORIA, C.P. 65500, NUEVO LE”N","https://maps.google.com/maps?q=25.9672,-100.292&z=15&iwloc=near&addr",N/D,N/D
UMF 35 MONTERREY,CLÕNICA,UNIDADES MEDICAS,"AVENIDA SOLIDARIDAD Y MAGNOLIA S/N  MONTERREY, COL. RESIDENCIAL AZTALN, MONTERREY, C.P. 64250, NUEVO LE”N","https://maps.google.com/maps?q=25.7325,-100.347&z=15&iwloc=near&addr",N/D,N/D
HGSMF 11 MONTEMORELOS,HOSPITAL,UNIDADES MEDICAS,"CALLE JOS… MA. PARAS Y BALLESTEROS S/N  MONTEMORELOS, COL. MONTEMORELOS CENTRO, MONTEMORELOS, C.P. 67500, NUEVO LE”N","https://maps.google.com/maps?q=25.1848,-99.84&z=15&iwloc=near&addr",N/D,N/D
UMF 41 DR. GONZ¡LEZ,CLÕNICA,UNIDADES MEDICAS,"CALLE MATAMOROS 109  DR. GONZALEZ, COL. DR. GONZ¡LEZ, DR. GONZALEZ, C.P. 66750, NUEVO LE”N","https://maps.google.com/maps?q=25.859,-99.9502&z=15&iwloc=near&addr",N/D,N/D
UNIDAD DE MEDICINA FAMILIAR (UMF) 36,M”DULOS DE ATENCI”N,M”DULOS DE ATENCI”N,"AV. L¡ZARO C¡RDENAS 6751† S/N MONTERREY, COL. 15 DE SEPTIEMBRE, MONTERREY, C.P. 64760, NUEVO LE”N","https://maps.google.com/maps?q=25.6311,-100.3&z=15&iwloc=near&addr",8:00 - 16:00,(818) 349 64 64
U-1171 CRECE Y APRENDE S.C.,GUARDERÕA,OTROS SERVICIOS,"JUNCO DE LA VEGA 408  MONTERREY, COL. ALTAVISTA, MONTERREY, C.P. 64840, NUEVO LE”N","https://maps.google.com/maps?q=25.6471,-100.2845&z=15&iwloc=near&addr",07:00-16:30,6889865
U-0448 ASOCIACI”N GUARDERÕA INFANTIL SAN NICOL¡S A.C.,GUARDERÕA,OTROS SERVICIOS,"EJERCITO CONSTITUCIONALISTA 285  SAN NICOLAS DE LOS GARZA, COL. CONSTITUYENTES DE QUER…TARO 3ER SECTOR, SAN NICOL¡S DE LOS GARZA, C.P. 66490, NUEVO LE”N","https://maps.google.com/maps?q=25.7232,-100.25521&z=15&iwloc=near&addr",07:00-16:00,6889865
UMF 68 RINC”N DE LA SIERRA,CLÕNICA,UNIDADES MEDICAS,"AVENIDA MAESTRO ISRAEL CAVAZOS 350  GUADALUPE, COL. RINC”N DE LA SIERRA, GUADALUPE, C.P. 67194, NUEVO LE”N","https://maps.google.com/maps?q=25.6792,-100.235&z=15&iwloc=near&addr",LUNES A VIERNES. CON ATENCI”N S¡BADO Y DOMINGO DE 07:00 A 21:30 HORAS EN CONSULTORIOS 1 2 3 4 5.,N/D
HOSPITAL GENERAL DE ZONA CON MEDICINA FAMILIARE (HGZ/MF) 02,M”DULOS DE ATENCI”N,M”DULOS DE ATENCI”N,"AV. F…LIX U. G”MEZ Y AV. EZEQUIEL E. CH¡VEZ S/N S/N MONTERREY, COL. CENTRO, MONTERREY, C.P. 64010, NUEVO LE”N","https://maps.google.com/maps?q=25.6704,-100.295&z=15&iwloc=near&addr",8:00 - 21:30,(818) 150 31 32
UNIDAD DE MEDICINA FAMILIAR (UMF) 03,M”DULOS DE ATENCI”N,M”DULOS DE ATENCI”N,"AVE. FELIX U GOMEZ ESQ. COL”N S/N S/N MONTERREY, COL. CENTRO, MONTERREY, C.P. 64000, NUEVO LE”N","https://maps.google.com/maps?q=25.6842,-100.297&z=15&iwloc=near&addr",8:00 - 20:00,(818) 975 35 95
